player,forty,Conf,G,college_rush_att,college_rush_yds,college_rush_avg,college_rush_TD,college_rec_rec,college_rec_yds,college_rec_avg,college_rec_TD,college_scrim_plays,college_scrim_yds,college_scrim_avg,college_scrim_TD,Power_5_Num
Emani Bailey,4.61,Big 12,42.0,366.0,2161.0,6.449999999999999,18.0,47.0,380.0,7.8999999999999995,1.0,413.0,2541.0,6.525,19.0,1
Trey Benson,4.39,ACC,36.0,316.0,1918.0,5.3,24.0,33.0,371.0,11.25,1.0,349.0,2289.0,5.633333333333333,25.0,1
Blake Corum,4.53,Big Ten,45.0,675.0,3737.0,5.075,58.0,56.0,411.0,8.775,3.0,731.0,4148.0,5.575,61.0,1
Re'Mahn Davis,4.52,SEC,44.0,746.0,3626.0,4.74,29.0,94.0,762.0,7.659999999999999,12.0,840.0,4388.0,5.0600000000000005,41.0,1
Audric Estimé,4.71,Ind,37.0,373.0,2321.0,6.966666666666666,29.0,26.0,277.0,11.7,1.0,399.0,2598.0,7.166666666666667,30.0,0
Isaac Guerendo,4.33,Big Ten,37.0,231.0,1392.0,4.68,17.0,42.0,358.0,5.85,1.0,273.0,1750.0,4.9799999999999995,18.0,1
George Holani,4.52,MWC,48.0,685.0,3596.0,5.32,26.0,88.0,777.0,9.08,8.0,773.0,4373.0,5.779999999999999,34.0,0
Bucky Irving,4.55,Pac-12,39.0,475.0,2937.0,6.133333333333333,20.0,95.0,785.0,8.700000000000001,5.0,570.0,3722.0,6.466666666666666,25.0,1
Dillon Johnson,4.68,SEC,49.0,462.0,2393.0,5.1,27.0,173.0,1054.0,6.175000000000001,1.0,635.0,3447.0,5.325,28.0,1
Jawhar Jordan,4.56,ACC,38.0,381.0,2214.0,5.62,18.0,39.0,476.0,18.9,1.0,420.0,2690.0,7.0,19.0,1
Tyrone Tracy Jr.,4.48,Big Ten,61.0,146.0,947.0,5.933333333333334,10.0,113.0,1201.0,11.75,5.0,259.0,2148.0,9.450000000000001,15.0,1
MarShawn Lloyd,4.46,SEC,32.0,291.0,1621.0,5.3,19.0,34.0,452.0,14.1,2.0,325.0,2073.0,6.033333333333332,21.0,1
Kendall Milton,4.62,SEC,41.0,297.0,1839.0,5.925,23.0,12.0,116.0,10.9,1.0,309.0,1955.0,6.1,24.0,1
Keilan Robinson,4.42,Big 12,45.0,121.0,796.0,7.074999999999999,8.0,35.0,332.0,8.700000000000001,3.0,156.0,1128.0,7.525,11.0,1
Cody Schrader,4.61,SEC,26.0,446.0,2372.0,5.15,23.0,41.0,328.0,7.949999999999999,0.0,487.0,2700.0,5.4,23.0,1
Kimani Vidal,4.46,Sun Belt,48.0,781.0,4010.0,5.05,33.0,92.0,700.0,7.85,1.0,873.0,4710.0,5.35,34.0,0
Michael Wiley,4.51,Pac-12,49.0,336.0,1712.0,5.0200000000000005,16.0,123.0,1150.0,8.58,12.0,459.0,2862.0,6.12,28.0,1
Jaylen Wright,4.38,SEC,34.0,368.0,2297.0,6.066666666666666,18.0,30.0,171.0,4.7,0.0,398.0,2468.0,6.0,18.0,1
